State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Illinois,Cass County,12956,12773,52,161
Illinois,Champaign County,205469,205943,443,1707
Illinois,Christian County,33900,33662,127,505
Illinois,Clark County,15407,15300,58,231
Illinois,Clay County,13267,13143,41,188
Illinois,Clinton County,36896,36793,96,426
Illinois,Coles County,46737,46765,164,601
Illinois,Cook County,5262741,5173146,12228,50008
Illinois,Crawford County,18639,18659,53,250
Illinois,Cumberland County,10428,10345,33,128
Illinois,DeKalb County,100233,100414,218,884
Illinois,De Witt County,15441,15341,71,247
Illinois,Douglas County,19742,19722,55,206
Illinois,DuPage County,931153,924885,1940,7878
